ADM0_NAME,DateOfReport,cum_conf,cum_death,ID,CENTER_LON,CENTER_LAT,ADM0_VIZ_NAME,Short_Name_ZH,Short_Name_FR,Short_Name_ES,Short_Name_RU,Short_Name_AR
Curacao,2020-03-28T00:00:00.000Z,7,1,46535,-68.96749055,12.18779752,Curacao,"库拉索岛
",,,,
Grenada,2020-03-28T00:00:00.000Z,7,0,46536,-61.65003909,12.16251573,Grenada,格林纳达,Grenade,Granada,Гренада,غرينادا
Guyana,2020-03-28T00:00:00.000Z,5,1,46537,-58.97416349,4.79237827,Guyana,圭亚那,Guyana,Guyana,Гайана,غيانا
Montserrat,2020-03-28T00:00:00.000Z,5,0,46538,-62.18692145,16.73575969,Montserrat,"蒙特塞拉特岛
",,,,
Saint Barthélemy,2020-03-28T00:00:00.000Z,5,0,46539,-62.83353803,17.9057614,Saint Barthélemy,"圣巴泰勒米
",,,,
Nicaragua,2020-03-28T00:00:00.000Z,4,1,46540,-85.03375025,12.84006976,Nicaragua,尼加拉瓜,Nicaragua,Nicaragua,Никарагуа,نيكاراغوا
Saint Lucia,2020-03-28T00:00:00.000Z,3,0,46541,-60.96869084,13.89811518,Saint Lucia,圣卢西亚,Sainte-Lucie,Santa Lucía,Сент-Люсия,سانت لوسيا
Sint Maarten,2020-03-28T00:00:00.000Z,3,0,46542,-63.06194338,18.04683524,Sint Maarten,"圣马丁
",,,,
Anguilla,2020-03-28T00:00:00.000Z,2,0,46543,-63.05795609,18.22423294,Anguilla,"安圭拉
",,,,
Belize,2020-03-28T00:00:00.000Z,2,0,46544,-88.68278545,17.21852829,Belize,伯利兹,Belize,Belice,Белиз,بليز
British Virgin Islands,2020-03-28T00:00:00.000Z,2,0,46545,-64.48189201,18.50995704,British Virgin Islands,"英属维尔京群岛
",,,,
Saint Kitts and Nevis,2020-03-28T00:00:00.000Z,2,0,46546,-62.69617397,17.26585656,Saint Kitts and Nevis,圣基茨和尼维斯,Saint-Kitts-et-Nevis,Saint Kitts y Nevis,Сент-Китс и Невис,سانت كيتس ونيفس
Turks and Caicos Islands,2020-03-28T00:00:00.000Z,2,0,46547,-71.88207917,21.80869292,Turks and Caicos Islands,"特克斯和凯科斯群岛
",,,,
Saint Vincent and the Grenadines,2020-03-28T00:00:00.000Z,1,0,46548,-61.20753009,13.20205468,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,Saint-Vincent-et-les Grenadines,San Vicente y las Granadinas,Сент-Винсент и Гренадины,سانت فنسنت وجزر غرينادين
South Africa,2020-03-28T00:00:00.000Z,1187,1,46549,25.08871199,-28.99321352,South Africa,南非,Afrique du Sud,Sudáfrica,Южная Африка,جنوب أفريقيا
Algeria,2020-03-28T00:00:00.000Z,409,26,46550,2.63236595,28.16335741,Algeria,阿尔及利亚,Algérie,Argelia,Алжир,الجزائر
Burkina Faso,2020-03-28T00:00:00.000Z,146,7,46551,-1.73983521,12.27793715,Burkina Faso,布基纳法索,Burkina Faso,Burkina Faso,Буркина-Фасо,بوركينا فاسو
Réunion,2020-03-28T00:00:00.000Z,143,0,46552,55.53821274,-21.12162946,Réunion,"留尼汪岛
",,,,
Côte d’Ivoire,2020-03-28T00:00:00.000Z,140,0,46553,-5.55549992,7.6317253,Côte d’Ivoire,科特迪瓦,Côte d'Ivoire,Côte d'Ivoire,Кот-д'Ивуар,كوت ديفوار
